attach,http://89.163.242.213:14265 score: 221.31927419704863 scoreNorm: 1
22311,15662,0
18584,62,1
793,63,2
707,70,3
10735,62,4
2218,11260,5
741,62,6
506,539,7
418,469,8
1168,49,9
7819,62,10
6822,61,11
11136,6268,12
665,61,13
8965,2014,14
766,69,15
902,875,16
37020,376,17
1455,8114,18
626,611,19
1407,2828,20
25336,22921,21
1195,9396,22
1315,575,23
1790,50,24
725,50,25
904,69,26
1137,337,27
3547,1656,28
436,50,29
402,50,30
479,412,31
687,317,32
461,621,33
763,4121,34
823,1054,35
3121,5326,36
973,50,37
605,57,38
703,63,39
916,63,40
35130,19686,41
731,57,42
726,13282,43
1354,1077,44
