attach,http://node02.iotatoken.nl:14265 score: 70.8396156855992 scoreNorm: 0.3164561922771071
12846,62,0
686,62,1
620,61,2
701,62,3
307,61,4
309,61,5
367,62,6
484,613,7
678,61,8
677,61,9
774,61,10
720,61,11
541,61,12
299,61,13
306,61,14
643,61,15
860,61,16
681,61,17
360,63,18
431,61,19
2750,61,20
910,64,21
10895,62,22
2586,62,23
318,62,24
1703,62,25
7077,62,26
4412,903,27
3472,61,28
777,62,29
5552,61,30
4086,2208,31
2643,61,32
17122,410,33
915,61,34
836,61,35
907,62,36
448,62,37
612,61,38
696,66,39
845,62,40
610,62,41
371,62,42
