attach,https://nodes.tangled.it:443 score: 42.12256235692443 scoreNorm: 0.18817077935019236
282,63,0
389,82,1
18478,27918,2
1689,7140,3
19443,12641,4
5267,30819,5
1548,13030,6
8708,2620,7
1340,1006,8
413,87,9
3265,182,10
9782,275,11
378,76,12
549,76,13
344,91,14
343,94,15
480,94,16
363,87,17
387,116,18
10805,853,19
2102,1268,20
22964,16234,21
379,82,22
4680,38552,23
548,55,24
7648,97,25
617,68,26
35390,253,27
348,75,28
440,74,29
561,230,30
4823,67,31
9378,75,32
24569,646,33
23619,10227,34
7109,69,35
306,55,36
367,69,37
430,83,38
5320,43246,39
413,87,40
10100,56,41
581,69,42
1101,333,43
391,83,44
