attach,https://trinity.iota-tangle.io:14265 score: 96.65842035412788 scoreNorm: 0.4160032575839808
1824,91,0
609,101,1
278,70,2
1087,530,3
548,91,4
482,78,5
2621,88,6
384,102,7
1222,1777,8
1107,87,9
422,82,10
1474,81,11
633,76,12
1192,95,13
393,73,14
422,104,15
539,96,16
738,84,17
546,72,18
515,92,19
713,102,20
875,66,21
506,87,22
442,82,23
865,75,24
350,87,25
545,107,26
585,556,27
827,84,28
490,106,29
469,86,30
437,235,31
370,90,32
1005,96,33
409,108,34
621,71,35
554,95,36
969,70,37
418,87,38
712,106,39
616,91,40
620,71,41
738,87,42
715,88,43
623,1845,44
