attach,https://nodes.thetangle.org:443 score: 118.61450837210323 scoreNorm: 0.5109758314742835
878,714,0
429,124,1
479,775,2
700,103,3
655,113,4
514,735,5
660,112,6
453,144,7
1673,126,8
524,199,9
516,237,10
560,10382,11
350,188,12
405,768,13
512,100,14
656,3144,15
1384,788,17
507,741,18
769,369,19
564,109,20
555,1331,21
378,94,22
1561,141,23
325,143,24
1299,99,25
839,1948,26
-1,-1,16
401,164,27
510,93,28
751,153,29
579,287,30
537,158,31
566,106,32
466,140,33
519,102,34
768,126,35
1685,418,36
524,741,38
789,37854,37
451,146,39
784,2357,40
759,137,41
422,9914,42
631,238,43
1604,123,44
