attach,https://hanspetzersnode.org:14267 score: 41.13988779857755 scoreNorm: 0.17525203175956885
1965,60,0
655,61,1
329,60,2
544,61,3
323,81,4
15140,85,5
1628,62,6
383,49,7
307,62,8
910,87,9
5678,647,10
5585,80,11
686,68,12
484,81,13
401,48,14
1264,81,15
776,65,16
15828,81,17
352,62,18
3257,1667,19
10109,51,20
551,63,21
33643,89,22
543,70,23
371,62,24
9433,69,25
564,51,26
10199,62,27
503,82,28
508,63,29
679,81,30
641,83,31
353,65,32
850,71,33
487,85,34
3646,87,35
11996,115,36
527,82,37
1198,64,38
500,64,39
1059,70,40
6002,64,41
425,64,42
430,82,43
1069,52,44
