id, latitude, longitude, timestamp, executionTime
0, -22.960569, -43.206589, 2020-03-11T18:47:56.329Z, 60
1, -22.96034, -43.204342, 2020-03-11T18:48:56.368Z, 40
2, -22.95949, -43.201069, 2020-03-11T18:49:56.393Z, 50
3, -22.957621, -43.199081, 2020-03-11T18:50:56.424Z, 62
4, -22.95569, -43.196388, 2020-03-11T18:51:56.472Z, 36
5, -22.95536, -43.195789, 2020-03-11T18:52:56.497Z, 43
6, -22.95443, -43.19286, 2020-03-11T18:53:56.536Z, 38
7, -22.95307, -43.188931, 2020-03-11T18:55:26.606Z, 38
8, -22.952959, -43.188622, 2020-03-11T18:55:56.611Z, 57
9, -22.95188, -43.185631, 2020-03-11T18:56:56.656Z, 44
10, -22.951389, -43.18454, 2020-03-11T18:57:56.665Z, 40
11, -22.950991, -43.183281, 2020-03-11T18:58:56.729Z, 39
12, -22.94981, -43.181419, 2020-03-11T18:59:56.744Z, 40
13, -22.947599, -43.182129, 2020-03-11T19:00:56.753Z, 41
14, -22.943529, -43.181141, 2020-03-11T19:01:56.782Z, 43
