time,id,latitude,longitude,counter
0,226,-22.919319,-43.221252,0
1,422,-22.923943,-43.177799,0
26,512,-22.960569,-43.206589,0
16,426,-22.950306,-43.176529,0
3,650,-22.8951,-43.256,0
25,422,-22.924776,-43.179428,1
6,426,-22.950808,-43.18005,1
10,512,-22.96034,-43.204342,1
5,484,-22.8846,-43.2266,0
14,422,-22.925875,-43.179329,2
0,650,-22.894,-43.2578,1
41,512,-22.95949,-43.201069,2
5,484,-22.8858,-43.2295,1
9,226,-22.915941,-43.217216,1
15,422,-22.928761,-43.179279,3
9,650,-22.8949,-43.2624,2
19,226,-22.913399,-43.215916,2
3,512,-22.957621,-43.199081,3
5,484,-22.887,-43.2316,2
5,426,-22.945799,-43.182232,2
29,422,-22.930351,-43.178955,4
6,426,-22.945122,-43.182083,3
14,650,-22.8967,-43.2632,3
1,512,-22.95569,-43.196388,4
14,422,-22.930725,-43.179085,5
4,484,-22.8869,-43.2328,3
0,650,-22.899,-43.2636,4
37,426,-22.944244,-43.181828,4
5,512,-22.95536,-43.195789,5
18,650,-22.9007,-43.2666,5
5,422,-22.931084,-43.179314,6
2,889,-22.904619,-43.380192,0
10,110,-22.904591,-43.190575,0
0,889,-22.905821,-43.379688,1
25,512,-22.95443,-43.19286,6
18,650,-22.9018,-43.2692,6
16,422,-22.931461,-43.179459,7
3,484,-22.8862,-43.2339,4
8,110,-22.904097,-43.19051,1
29,426,-22.942608,-43.181995,5
6,110,-22.904057,-43.190544,2
5,889,-22.910694,-43.378273,2
5,512,-22.95307,-43.188931,7
14,422,-22.932478,-43.182209,8
5,426,-22.942059,-43.182148,6
11,512,-22.952959,-43.188622,8
5,889,-22.914,-43.375763,3
13,650,-22.897,-43.2722,7
1,422,-22.932751,-43.183285,9
10,110,-22.903963,-43.19051,3
24,422,-22.93276,-43.183285,10
7,512,-22.95188,-43.185631,9
5,110,-22.903841,-43.190544,4
13,650,-22.8964,-43.2726,8
24,226,-22.904938,-43.189995,3
18,512,-22.951389,-43.18454,10
2,226,-22.904242,-43.187874,4
40,226,-22.903198,-43.184681,5
4,650,-22.8926,-43.2767,9
14,512,-22.950991,-43.183281,11
17,650,-22.8921,-43.2775,10
8,889,-22.91452,-43.377556,4
35,512,-22.94981,-43.181419,12
17,650,-22.892,-43.2794,11
8,889,-22.915596,-43.377304,5
4,484,-22.8857,-43.2344,5
31,512,-22.947599,-43.182129,13
3,639,-22.917,-43.2622,0
14,650,-22.8919,-43.2804,12
8,889,-22.916172,-43.377495,6
4,484,-22.8857,-43.2344,6
4,639,-22.9186,-43.2618,1
27,512,-22.943529,-43.181141,14
3,639,-22.9191,-43.2617,2
8,371,-22.881689,-43.294537,0
6,650,-22.8919,-43.2818,13
8,889,-22.916298,-43.37793,7
4,484,-22.8857,-43.2344,7
6,889,-22.916298,-43.37793,8
